bathingwater,lat,long,2024_class
Booby’s Bay,50.53903716125394,-5.025858085,Excellent
Carbis Bay,50.198743487111486,-5.464979858,Excellent
Cawsand,50.330855517949935,-4.20137746,Excellent
Chapel Porth,50.30041024758236,-5.234876016,Excellent
Charlestown,50.33118443987883,-4.755341207,Excellent
Church Cove,50.03856677687165,-5.267924543,Excellent
Constantine Bay,50.53323640833779,-5.022692245,Excellent
Coverack,50.02436158631497,-5.097157135,Excellent
Crackington Haven,50.74192286553918,-4.633803991,Excellent
Crantock,50.40681791797864,-5.119221504,Good
Crinnis Beach,50.33609981662796,-4.733841448,Excellent
Crooklets,50.83580233992227,-4.554007949,Excellent
Daymer Bay,50.56133257,-4.926484246,Excellent
Downderry,50.360983061814046,-4.370798314,Excellent
Duporth,50.3274314,-4.761868908,Excellent
East Looe,50.35256267635997,-4.451498081,Good
Fistral North,50.41771612760746,-5.098537125,Excellent
Fistral South,50.41415464410884,-5.10154263,Excellent
Godrevy Towans,50.232735440965584,-5.392071943,Excellent
Gorran Haven Little Perhaver,50.24082249654092,-4.787575467,Excellent
Great Western,50.41595984701269,-5.076600419,Excellent
Gwithian Towans,50.22798045801165,-5.39193069,Excellent
Gwynver,50.089302054564136,-5.688927671,Excellent
Gyllyngvase,50.14461889183703,-5.067404244,Excellent
Harlyn Bay,50.54027976933611,-4.99731103,Excellent
Hayle Towans,50.20475243723058,-5.41705562,Excellent
Holywell Bay,50.39189541579557,-5.14554068,Excellent
Kennack Sands,50.00511454,-5.163617647,Excellent
Kingsand,50.33359139747659,-4.199395955,Good
Long Rock,50.12751,-5.505328,Excellent
Lusty Glaze,50.421753411210396,-5.065007626,Excellent
Maenporth,50.12494280778024,-5.093572395,Good
Marazion,50.1264953,-5.480789645,Good
Mawgan Porth,50.46746945104093,-5.033433876,Excellent
Mexico Towans,50.20104507197195,-5.423798806,Excellent
Millendreath,50.36106704002505,-4.436327857,Good
Mother Ivey`s Bay,50.54412805108646,-5.015483516,Excellent
Northcott Mouth,50.847970518807266,-4.556945819,Excellent
Par Sands,50.34695147768081,-4.692854629,Sufficient
Pendower,50.205650385263674,-4.947832565,Excellent
Pentewan,50.287537976881396,-4.782583402,Excellent
Penzance,50.11465387695735,-5.535572892,Good
Perranporth,50.34935602310362,-5.155098901,Excellent
Perranporth Penhale Sands,50.35935172958828,-5.151402771,Excellent
Perranuthnoe,50.11223580545538,-5.442498479,Excellent
Poldhu Cove,50.03353543801929,-5.261297726,Excellent
Polkerris,50.33785853107068,-4.681518058,Good
Polstreath,50.27436607251723,-4.784201217,Excellent
Polurrian Cove,50.023330677378155,-5.25627743,Excellent
Polzeath,50.574807678958884,-4.916442738,Excellent
Porth,50.42466218851614,-5.057028366,Good
Porthallow,50.06855769742675,-5.079319251,Excellent
Porthcothan,50.509016460983155,-5.023542516,Excellent
Porthcurnick,50.18612904255592,-4.972549323,Excellent
Porthcurno,50.04289896158366,-5.650440231,Excellent
Porthgwidden,50.217196038143136,-5.476692928,Excellent
Porthkidney Sands,50.19410570682622,-5.439418397,Good
Porthleven Sands,50.081047434835746,-5.314853126,Excellent
Porthluney,50.236773121760834,-4.843300092,Poor
Porthmeor,50.21528489056019,-5.483423954,Excellent
Porthminster,50.20865951327619,-5.47635247,Excellent
Porthoustock,50.05555308399595,-5.064233763,Excellent
Porthpean,50.32356183624416,-4.765719192,Excellent
Porthtowan,50.28750549757236,-5.242453199,Excellent
Portmellon,50.26182964398326,-4.78557472,Excellent
Portreath,50.26121685732411,-5.293671283,Excellent
Portwrinkle,50.361443659255194,-4.307686824,Excellent
Praa Sands East,50.09926528948838,-5.378769188,Excellent
Praa Sands West,50.10322853083056,-5.390937538,Excellent
Readymoney Cove,50.32951544639139,-4.645214976,Good
Sandymouth,50.860925775452294,-4.556801841,Excellent
Seaton (Cornwall),50.36435089286344,-4.386434432,Excellent
Sennen,50.07874145122392,-5.697623804,Excellent
Sharrow,50.347591487423465,-4.259643504,Excellent
Shorthorn Beach,50.33761446482151,-4.722965713,Excellent
Summerleaze,50.831168031253235,-4.552050639,Excellent
Swanpool,50.140617662512916,-5.075826819,Good
Tolcarne,50.41766180364849,-5.073472516,Excellent
Towan,50.41504447,-5.084326472,Excellent
Trebarwith Strand,50.64496675477914,-4.761636039,Good
Tregonhawke,50.34085546067812,-4.242879703,Excellent
Trevaunance Cove,50.32038678132352,-5.201232297,Excellent
Trevone Bay,50.54573665118223,-4.977469481,Excellent
Treyarnon Bay,50.52613078547197,-5.022661276,Excellent
Upton Towans,50.215181048375264,-5.402911509,Excellent
Vault Beach,50.23488377867148,-4.787649665,Excellent
Watergate Bay,50.44375094456302,-5.042622329,Excellent
Wherry Town,50.10891717077118,-5.544900667,Good
Widemouth Sand,50.793089011925076,-4.557637244,Excellent